N,rho_star,T_star,kappa,a,α,n_cut,m_cut,step_size,n_burnin,n_sweeps,sample_every,n_samples,seed,mean_abs_Q2_first_shell,ϵ0_inv,universal_line_4T,diff_to_4T,acceptance_rate,U1_mean,beta_U_mean
50,0.005,0.8,1.25,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101015,4.178993380167151,0.1686156829976122,3.2,-3.031384317002388,0.7061183333333333,-72.05896262776714,-90.07370328470638
50,0.005,1.0,1.0,0.01,1.7724538509055159,1,6,0.05,2000,10000,10,1000,101016,5.125051229010601,0.1843227633037695,4.0,-3.8156772366962306,0.7566916666666667,-68.75518893917477,-68.75518893917477
50,0.01,0.05,20.0,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102000,0.044365752341698386,0.8587794242165574,0.2,0.6587794242165574,0.008691666666666667,-109.37825750582809,-2187.5651501165507
50,0.01,0.075,13.333333333333334,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102001,0.07696693565913186,0.836671089802844,0.3,0.536671089802844,0.019783333333333333,-106.81851813606963,-1424.246908480928
50,0.01,0.1,10.0,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102002,0.10526287238478386,0.8324689353591028,0.4,0.4324689353591028,0.035908333333333334,-104.70732403788257,-1047.0732403788325
50,0.01,0.125,8.0,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102003,0.12720289319646294,0.83804024617754,0.5,0.33804024617754,0.056545,-102.93124309351282,-823.4499447481026
50,0.01,0.15,6.666666666666667,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102004,0.1611088212693961,0.8290582314617795,0.6,0.2290582314617795,0.08158166666666666,-101.69287395848156,-677.9524930565502
50,0.01,0.175,5.714285714285714,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102005,0.218524290772786,0.8012615939306311,0.7,0.10126159393063117,0.10982166666666666,-100.12542871478009,-572.1453069415911
50,0.01,0.2,5.0,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102006,0.2927115930370901,0.7670675153392195,0.8,-0.03293248466078058,0.14528333333333332,-98.45730473521938,-492.2865236760932
50,0.01,0.225,4.444444444444445,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102007,0.4559816375123795,0.6774589708034133,0.9,-0.2225410291965867,0.18759,-96.39448402836638,-428.4199290149758
50,0.01,0.25,4.0,0.01414213562373095,1.7724538509055159,1,6,0.05,2000,10000,10,1000,102008,0.6451714496943197,0.5892710985575398,1.0,-0.4107289014424602,0.23199166666666668,-94.2635438262794,-377.0541753051176
